run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
3,2026-05-19 01:41:54,ft06,a2c_greedy,1,63,181,0.5212
3,2026-05-19 01:41:54,ft06,spt,1,109,457,0.3012
3,2026-05-19 01:41:54,ft06,fifo,1,152,715,0.216
3,2026-05-19 01:41:54,ft06,edd,1,101,409,0.3251
3,2026-05-19 01:41:54,ft06,lpt,1,129,577,0.2545
3,2026-05-19 01:41:54,ft06,random,1,93,361,0.353
3,2026-05-19 01:41:54,ft06,random,2,92,355,0.3569
3,2026-05-19 01:41:54,ft06,random,3,107,445,0.3069
3,2026-05-19 01:41:54,ft06,random,4,101,409,0.3251
3,2026-05-19 01:41:54,ft06,random,5,84,307,0.3909
3,2026-05-19 01:41:54,ft06,random,6,127,565,0.2585
3,2026-05-19 01:41:54,ft06,random,7,104,427,0.3157
3,2026-05-19 01:41:54,ft06,random,8,111,469,0.2958
3,2026-05-19 01:41:54,ft06,random,9,118,511,0.2782
3,2026-05-19 01:41:54,ft06,random,10,108,451,0.304
3,2026-05-19 01:41:54,ft06,random,11,70,223,0.469
3,2026-05-19 01:41:54,ft06,random,12,102,415,0.3219
3,2026-05-19 01:41:54,ft06,random,13,118,511,0.2782
3,2026-05-19 01:41:54,ft06,random,14,92,355,0.3569
3,2026-05-19 01:41:54,ft06,random,15,112,475,0.2932
3,2026-05-19 01:41:54,ft06,random,16,94,367,0.3493
3,2026-05-19 01:41:54,ft06,random,17,98,391,0.335
3,2026-05-19 01:41:54,ft06,random,18,91,349,0.3608
3,2026-05-19 01:41:54,ft06,random,19,79,277,0.4156
3,2026-05-19 01:41:54,ft06,random,20,87,325,0.3774
3,2026-05-19 01:41:54,ft06,random,21,106,439,0.3097
3,2026-05-19 01:41:54,ft06,random,22,81,289,0.4053
3,2026-05-19 01:41:54,ft06,random,23,91,349,0.3608
3,2026-05-19 01:41:54,ft06,random,24,120,523,0.2736
3,2026-05-19 01:41:54,ft06,random,25,104,427,0.3157
3,2026-05-19 01:41:54,ft06,random,26,92,355,0.3569
3,2026-05-19 01:41:54,ft06,random,27,79,277,0.4156
3,2026-05-19 01:41:54,ft06,random,28,98,391,0.335
3,2026-05-19 01:41:54,ft06,random,29,85,313,0.3863
3,2026-05-19 01:41:54,ft06,random,30,115,493,0.2855
